Code,Title,Size,Style,Country,Group,Available,Price (inc VAT),Price (ex-VAT),Link
HED0660,Palmer 2005,75cl,Red,France,Bordeaux,7,430.0,344.0,http://default/product/palmer-2005
HED06720,Verite Le Desir 500cl 2009,500cl,Red,United States,USA,1,1710.0,1368.0,http://default/product/verite-le-desir-500cl-2009
HED06724,Verite La Muse 500cl 2009,500cl,Red,United States,USA,1,1710.0,1368.0,http://default/product/verite-la-muse-500cl-2009
HED06728,Verite La Joie 500cl 2009,500cl,Red,United States,USA,1,1710.0,1368.0,http://default/product/verite-la-joie-500cl-2009
HED0692,Petrus 1982,75cl,Red,France,Bordeaux,10,6300.0,5040.0,http://default/product/petrus-1982
HED0699,Petrus 1995,75cl,Red,France,Bordeaux,14,3900.0,3120.0,http://default/product/petrus-1995
HED07613,Chevalier Montrachet Domaine Leflaive 2011,75cl,White,France,Burgundy,7,1450.0,1160.0,http://default/product/chevalier-montrachet-domaine-leflaive-2011
HED07758,Metaxa Twelve Star,70cl,Spirits,Greece,Brandy,7,32.3,25.84,http://default/product/metaxa-twelve-star
HED08636,Tomatin 18 Year Old,70cl,Spirits,Scotland,Whisky,19,119.0,95.2,http://default/product/tomatin-18-year-old-whisky
HED08707,"Wine Grapes - Jancis Robinson, Julia Harding and Jose Vouillamoz",0cl,Other,England,Books,3,175.0,175.0,http://default/product/wine-grapes-jancis-robinson-julia-harding-and-jose-vouillamoz
HED09040,Bonnes Mares Vougeraie 2011,75cl,Red,France,Burgundy,4,292.0,233.6,http://default/product/bonnes-mares-vougeraie-2011
HED09085,Mouton Rothschild 2010,75cl,Red,France,Bordeaux,14,950.0,760.0,http://default/product/mouton-rothschild-2010
HED09221,Sassicaia 2004,75cl,Red,Italy,Italy,15,490.0,392.0,http://default/product/sassicaia-2004
HED0928,Chevalier Montrachet Domaine Leflaive 2010,75cl,White,France,Burgundy,4,1990.0,1592.0,http://default/product/chevalier-montrachet-domaine-leflaive-2010
HED0958,Gevrey Chambertin Clos St Jacques Armand Rousseau 1999,75cl,Red,France,Burgundy,6,3000.0,2400.0,http://default/product/gevrey-chambertin-clos-st-jacques-armand-rousseau-1999
HED10002,Basil Hayden,75cl,Spirits,United States,Whiskey,5,41.9,33.52,http://default/product/basil-hayden-whiskey
HED10022,Cardhu 18 Year Old,70cl,Spirits,Scotland,Whisky,6,82.3,65.84,http://default/product/cardhu-18-year-old-whisky
