code,title,size,style,country,type,availability,price_gbp
HED92424,Taittinger Comtes de Champagne 2012,75cl,White,France,Champagne,6.0,155.0
HED92531,Gevrey Chambertin Odoul Coquard 2021,75cl,Red,France,Burgundy,64.0,55.0
HED92534,Chambolle Musigny Les Sentiers Odoul Coquard 2021,75cl,Red,France,Burgundy,9.0,95.0
HED92559,Meursault Perrieres Michelot 2021,75cl,White,France,Burgundy,7.0,130.0
HED92607,Saint Romain Sous Le Chateau Benjamin Leroux 2021,75cl,White,France,Burgundy,20.0,45.0
HED23471,Faugeres Les Bancels Domaine de Cebene 2019,75cl,Red,France,Regional France,5.0,29.799999237060547
HED92966,Vinhas Velhas Tinto Antonio Madeira 2019,75cl,Red,Portugal,Portugal,10.0,35.70000076293945
HED92975,Clos de la Roche Domaine Dujac 2007,75cl,Red,France,Burgundy,2.0,1045.0
HED38759,Fleur Cardinale 2014,75cl,Red,France,Bordeaux,77.0,61.099998474121094
HED38821,Leeuwin Estate Art Series Cabernet Sauvignon 2018,75cl,Red,Australia,Australia,13.0,48.5
HED39739,Veyder Malberg Wosendorfer Hochrain Gruner Veltliner 2019,75cl,White,Austria,Austria,8.0,55.79999923706055
HED23053,Valpolicella Borgomarcellise Marion 2020,75cl,Red,Italy,Italy,6.0,23.600000381469727
HED23293,Philipponnat Royal Reserve Non Dose 2018,75cl,White,France,Champagne,21.0,42.900001525878906
HED46581,Dassai Junmai Daiginjo Sparkling Half,36cl,Spirits,Japan,Sake,13.0,18.100000381469727
HED92533,Morey St Denis Les Crais Gillon Odoul Coquard 2021,75cl,Red,France,Burgundy,17.0,55.0
HED23513,Pequenos Rebentos Alvarinho 2022,75cl,White,Portugal,Portugal,6.0,21.799999237060547
HED5552,Billecart Salmon Brut Reserve Half,37.5cl,White,France,Champagne,12.0,25.899999618530273
HED6068,Glenlivet 18 Year Old,70cl,Spirits,Scotland,Whisky,7.0,105.0
HED62763,FEW Rye,70cl,Spirits,United States,Whiskey,5.0,65.9000015258789
HED2844,Baron de Sigognac 10 Year Old,70cl,Spirits,France,Armagnac,6.0,50.0
HED81159,Nino Franco Prosecco Rustico,75cl,White,Italy,Italy,29.0,21.0
HED81576,Tesseron Extra Legende Decanter,70cl,Spirits,France,Cognac,4.0,330.0
HED8404,Fernando de Castilla Antique Fino 50cl,50cl,White,Spain,Sherry,4.0,26.200000762939453
HED0084,Caol Ila 25 Year Old,70cl,Spirits,Scotland,Whisky,22.0,295.0
HED64375,Ledaig 18 Year Old,70cl,Spirits,Scotland,Whisky,10.0,86.69999694824219
HED85570,Louis Roederer Brut Nature Philippe Starck 2006,75cl,White,France,Champagne,2.0,100.0
HED12021,Vosne Romanee Sylvain Cathiard 2011,75cl,Red,France,Burgundy,2.0,300.0
HED54645,Taylor`s Vintage Half 2017,37.5cl,Red,Portugal,Port ,21.0,34.900001525878906
HED78687,Glenfiddich 23 Year Old Grand Cru,70cl,Spirits,Scotland,Whisky,6.0,242.0
HED89075,Kavalan Solist Vinho Barrique 56.3%,70cl,Spirits,"Taiwan, Province of China",Whisky,3.0,215.0
HED26018,Certan de May Half 2020,37.5cl,Red,France,Bordeaux,119.0,69.80000305175781
HED34578,Vin Jaune Dugois 2014,62cl,White,France,Regional France,3.0,55.099998474121094
HED45290,El Destilado Sierra Negra,50cl,Spirits,Mexico,Mezcal,2.0,55.70000076293945
HED39232,Etna Rosso Sisma Monterosso 2019,75cl,Red,Italy,Italy,5.0,49.099998474121094
HED21048,Caol Ila 15 Year Old Cask Strength Collection Signatory 2007,70cl,Spirits,Scotland,Whisky,2.0,145.0
HED93113,Alexandre Lamblot Mouvance 2017,75cl,White,France,Champagne,6.0,72.69999694824219
HED93132,Ridge Monte Bello Chardonnay 2020,75cl,White,United States,USA,5.0,125.0
HED93168,Chablis Beauroy William Fevre 2021,75cl,White,France,Burgundy,57.0,53.0
HED23608,Vincey Oger 2018,75cl,White,France,Champagne,8.0,79.0
HED93287,Ceritas Carex Chardonnay 2020,75cl,White,United States,USA,6.0,95.0
HED23730,CVNE Imperial Gran Reserva 2015,75cl,Red,Spain,Spain,13.0,50.0
HED23752,Cos Cerasuolo di Vittoria Classico 2020,75cl,Red,Italy,Italy,12.0,30.5
