code,title,size,style,country,type,availability,price_gbp,import_date,url
HED46903,Glenfarclas 26 Year Old Oloroso Sherry Finish,70cl,Spirits,Scotland,Whisky,48.0,240.0,2024-03-28,https://hedonism.co.uk/product/glenfarclas-26-year-old-oloroso-sherry-finish-whisky
HED4690,Glenfarclas 10 Year Old,70cl,Spirits,Scotland,Whisky,9.0,41.2,2024-03-28,https://hedonism.co.uk/product/glenfarclas-10-year-old-whisky
HED46896,Johnett 10 Year Old Single Malt 2012,70cl,Spirits,Switzerland,Whisky,6.0,59.0,2024-03-28,https://hedonism.co.uk/product/johnett-10-year-old-single-malt-2012-whisky
HED46882,Talisker Distiller`s Edition (2022 Release),70cl,Spirits,Scotland,Whisky,5.0,63.5,2024-03-28,https://hedonism.co.uk/product/talisker-distiller`s-edition-(2022-release)-whisky
HED46841,Macallan Harmony Collection Amber Meadow,70cl,Spirits,Scotland,Whisky,42.0,165.0,2024-03-28,https://hedonism.co.uk/product/macallan-harmony-collection-amber-meadow-whisky
HED46816,Macallan 25 Year Old Sherry Oak (2023 Release),70cl,Spirits,Scotland,Whisky,81.0,2295.0,2024-03-28,https://hedonism.co.uk/product/macallan-25-year-old-sherry-oak-(2023-release)-whisky
HED46806,Isle of Raasay Scotch Whisky Distillery of the Year Release,70cl,Spirits,Scotland,Whisky,6.0,90.0,2024-03-28,https://hedonism.co.uk/product/isle-of-raasay-scotch-whisky-distillery-of-the-year-release-whisky
HED46753,Yamazaki 12 Year Old 100th Anniversary,70cl,Spirits,Japan,Whisky,39.0,199.0,2024-03-28,https://hedonism.co.uk/product/yamazaki-12-year-old-100th-anniversary-whisky
HED46730,Lindores Single Malt Friar John Cor Cask Strength Congregation Chapter 2,70cl,Spirits,Scotland,Whisky,3.0,62.5,2024-03-28,https://hedonism.co.uk/product/lindores-single-malt-friar-john-cor-cask-strength-congregation-chapter-2-whisky
HED46707,Campbeltown Loch Blended,70cl,Spirits,Scotland,Whisky,30.0,40.0,2024-03-28,https://hedonism.co.uk/product/campbeltown-loch-blended-whisky
HED46706,Glenmorangie 12 Year Old Palo Cortado Finish,70cl,Spirits,Scotland,Whisky,10.0,71.5,2024-03-28,https://hedonism.co.uk/product/glenmorangie-12-year-old-palo-cortado-finish-whisky
HED46679,Glenfiddich 29 Year Old Grand Yozakura,70cl,Spirits,Scotland,Whisky,5.0,1550.0,2024-03-28,https://hedonism.co.uk/product/glenfiddich-29-year-old-grand-yozakura-whisky
HED46671,Craigellachie 13 Year Old Bas-Armagnac Finish,70cl,Spirits,Scotland,Whisky,5.0,63.9,2024-03-28,https://hedonism.co.uk/product/craigellachie-13-year-old-bas-armagnac-finish-whisky
HED46670,Benrinnes 11 Year Old Adelphi (Exclusive to Hedonism Wines) 2011,70cl,Spirits,Scotland,Whisky,17.0,69.9,2024-03-28,https://hedonism.co.uk/product/benrinnes-11-year-old-adelphi-(exclusive-to-hedonism-wines)-2011-whisky
HED46670,Benrinnes 11 Year Old Adelphi Hedonism Exclusive 2011,70cl,Spirits,Scotland,Whisky,19.0,69.9,2024-03-28,https://hedonism.co.uk/product/benrinnes-11-year-old-adelphi-hedonism-exclusive-2011-whisky
HED46596,Compass Box Hedonism² (Exclusive to Hedonism Wines),70cl,Spirits,Scotland,Whisky,309.0,140.0,2024-03-28,https://hedonism.co.uk/product/compass-box-hedonism²-(exclusive-to-hedonism-wines)-whisky
HED46596,Compass Box Hedonism² Exclusive,70cl,Spirits,Scotland,Whisky,310.0,140.0,2024-03-28,https://hedonism.co.uk/product/compass-box-hedonism²-exclusive-whisky
HED46540,Glen Scotia 15 Year Old,70cl,Spirits,Scotland,Whisky,5.0,68.9,2024-03-28,https://hedonism.co.uk/product/glen-scotia-15-year-old-whisky
HED46276,Glenfarclas 12 Year Old,70cl,Spirits,Scotland,Whisky,3.0,57.0,2024-03-28,https://hedonism.co.uk/product/glenfarclas-12-year-old-whisky
